draw,Phenotype,logic,dose
48,Slow,AUC_match,950
48,Slow,C24_match,350
48,Slow,C24_ceiling,1450
48,Intermediate,AUC_match,1350
48,Intermediate,C24_match,1000
48,Intermediate,C24_ceiling,1800
48,Rapid,AUC_match,1800
48,Rapid,C24_match,1800
48,Rapid,C24_ceiling,1800
49,Slow,AUC_match,600
49,Slow,C24_match,200
49,Slow,C24_ceiling,300
49,Intermediate,AUC_match,1300
49,Intermediate,C24_match,1800
49,Intermediate,C24_ceiling,1800
49,Rapid,AUC_match,1600
49,Rapid,C24_match,1800
49,Rapid,C24_ceiling,1800
50,Slow,AUC_match,750
50,Slow,C24_match,200
50,Slow,C24_ceiling,750
50,Intermediate,AUC_match,1300
50,Intermediate,C24_match,1450
50,Intermediate,C24_ceiling,1800
50,Rapid,AUC_match,1800
50,Rapid,C24_match,1800
50,Rapid,C24_ceiling,1800
51,Slow,AUC_match,600
51,Slow,C24_match,200
51,Slow,C24_ceiling,350
51,Intermediate,AUC_match,1150
51,Intermediate,C24_match,1800
51,Intermediate,C24_ceiling,1800
51,Rapid,AUC_match,1300
51,Rapid,C24_match,1800
51,Rapid,C24_ceiling,1800
52,Slow,AUC_match,650
52,Slow,C24_match,200
52,Slow,C24_ceiling,400
52,Intermediate,AUC_match,1200
52,Intermediate,C24_match,1800
52,Intermediate,C24_ceiling,1800
52,Rapid,AUC_match,1550
52,Rapid,C24_match,1800
52,Rapid,C24_ceiling,1800
53,Slow,AUC_match,550
53,Slow,C24_match,200
53,Slow,C24_ceiling,200
53,Intermediate,AUC_match,1050
53,Intermediate,C24_match,500
53,Intermediate,C24_ceiling,1800
53,Rapid,AUC_match,1250
53,Rapid,C24_match,800
53,Rapid,C24_ceiling,1800
54,Slow,AUC_match,750
54,Slow,C24_match,200
54,Slow,C24_ceiling,400
54,Intermediate,AUC_match,1300
54,Intermediate,C24_match,700
54,Intermediate,C24_ceiling,1800
54,Rapid,AUC_match,1600
54,Rapid,C24_match,1150
54,Rapid,C24_ceiling,1800
55,Slow,AUC_match,750
55,Slow,C24_match,250
55,Slow,C24_ceiling,750
55,Intermediate,AUC_match,1200
55,Intermediate,C24_match,1800
55,Intermediate,C24_ceiling,1800
55,Rapid,AUC_match,1250
55,Rapid,C24_match,1800
